amopopr,amopfamily,amopmethod,amoppurpose,amoplefttype,amopstrategy,amoprighttype,amopsortfamily
15,1976,403,s,23,3,20,0
15,1977,405,s,23,1,20,0
15,4054,3580,s,23,3,20,0
37,1976,403,s,23,1,20,0
37,4054,3580,s,23,1,20,0
58,424,403,s,16,1,16,0
59,424,403,s,16,5,16,0
76,1976,403,s,23,5,20,0
76,4054,3580,s,23,5,20,0
80,1976,403,s,23,2,20,0
80,4054,3580,s,23,2,20,0
82,1976,403,s,23,4,20,0
82,4054,3580,s,23,4,20,0
91,424,403,s,16,3,16,0
91,2222,405,s,16,1,16,0
92,429,403,s,18,3,18,0
92,431,405,s,18,1,18,0
92,4062,3580,s,18,3,18,0
93,1986,403,s,19,3,19,0
93,1987,405,s,19,1,19,0
93,4065,3580,s,19,3,19,0
94,1976,403,s,21,3,21,0
94,1977,405,s,21,1,21,0
94,4054,3580,s,21,3,21,0
95,1976,403,s,21,1,21,0
95,4054,3580,s,21,1,21,0
96,1976,403,s,23,3,23,0
96,1977,405,s,23,1,23,0
96,4054,3580,s,23,3,23,0
97,1976,403,s,23,1,23,0
97,4054,3580,s,23,1,23,0
98,1994,403,s,25,3,25,0
98,1995,405,s,25,1,25,0
98,2095,403,s,25,3,25,0
98,2229,405,s,25,1,25,0
98,4017,4000,s,25,3,25,0
98,4056,3580,s,25,3,25,0
352,2225,405,s,28,1,28,0
385,2226,405,s,29,1,29,0
387,2789,403,s,27,3,27,0
387,4069,3580,s,27,3,27,0
410,1976,403,s,20,3,20,0
410,1977,405,s,20,1,20,0
410,4054,3580,s,20,3,20,0
412,1976,403,s,20,1,20,0
412,4054,3580,s,20,1,20,0
413,1976,403,s,20,5,20,0
413,4054,3580,s,20,5,20,0
414,1976,403,s,20,2,20,0
414,4054,3580,s,20,2,20,0
415,1976,403,s,20,4,20,0
415,4054,3580,s,20,4,20,0
416,1976,403,s,20,3,23,0
416,1977,405,s,20,1,23,0
416,4054,3580,s,20,3,23,0
418,1976,403,s,20,1,23,0
418,4054,3580,s,20,1,23,0
419,1976,403,s,20,5,23,0
419,4054,3580,s,20,5,23,0
420,1976,403,s,20,2,23,0
420,4054,3580,s,20,2,23,0
430,1976,403,s,20,4,23,0
430,4054,3580,s,20,4,23,0
433,4104,3580,s,603,7,600,0
485,2594,783,s,604,1,604,0
485,5008,4000,s,604,1,604,0
486,2594,783,s,604,2,604,0
486,5008,4000,s,604,2,604,0
487,2594,783,s,604,4,604,0
487,5008,4000,s,604,4,604,0
488,2594,783,s,604,5,604,0
488,5008,4000,s,604,5,604,0
489,2594,783,s,604,8,604,0
489,5008,4000,s,604,8,604,0
490,2594,783,s,604,7,604,0
490,5008,4000,s,604,7,604,0
491,2594,783,s,604,6,604,0
491,5008,4000,s,604,6,604,0
492,2594,783,s,604,3,604,0
492,5008,4000,s,604,3,604,0
493,2593,783,s,603,1,603,0
493,4104,3580,s,603,1,603,0
493,5000,4000,s,603,1,603,0
494,2593,783,s,603,2,603,0
494,4104,3580,s,603,2,603,0
494,5000,4000,s,603,2,603,0
495,2593,783,s,603,4,603,0
495,4104,3580,s,603,4,603,0
495,5000,4000,s,603,4,603,0
496,2593,783,s,603,5,603,0
496,4104,3580,s,603,5,603,0
496,5000,4000,s,603,5,603,0
497,2593,783,s,603,8,603,0
497,4104,3580,s,603,8,603,0
497,5000,4000,s,603,8,603,0
498,2593,783,s,603,7,603,0
498,4104,3580,s,603,7,603,0
498,5000,4000,s,603,7,603,0
499,2593,783,s,603,6,603,0
499,4104,3580,s,603,6,603,0
499,5000,4000,s,603,6,603,0
500,2593,783,s,603,3,603,0
500,4104,3580,s,603,3,603,0
500,5000,4000,s,603,3,603,0
506,1029,783,s,600,11,600,0
506,4015,4000,s,600,11,600,0
506,4016,4000,s,600,11,600,0
507,1029,783,s,600,1,600,0
507,4015,4000,s,600,1,600,0
507,4016,4000,s,600,1,600,0
508,1029,783,s,600,5,600,0
508,4015,4000,s,600,5,600,0
508,4016,4000,s,600,5,600,0
509,1029,783,s,600,10,600,0
509,4015,4000,s,600,10,600,0
509,4016,4000,s,600,10,600,0
510,1029,783,s,600,6,600,0
510,4015,4000,s,600,6,600,0
510,4016,4000,s,600,6,600,0
511,1029,783,s,600,28,603,0
511,4015,4000,s,600,8,603,0
511,4016,4000,s,600,8,603,0
517,1029,783,o,600,15,600,1970
520,1976,403,s,21,5,21,0
520,4054,3580,s,21,5,21,0
521,1976,403,s,23,5,23,0
521,4054,3580,s,23,5,23,0
522,1976,403,s,21,2,21,0
522,4054,3580,s,21,2,21,0
523,1976,403,s,23,2,23,0
523,4054,3580,s,23,2,23,0
524,1976,403,s,21,4,21,0
524,4054,3580,s,21,4,21,0
525,1976,403,s,23,4,23,0
525,4054,3580,s,23,4,23,0
532,1976,403,s,21,3,23,0
532,1977,405,s,21,1,23,0
532,4054,3580,s,21,3,23,0
533,1976,403,s,23,3,21,0
533,1977,405,s,23,1,21,0
533,4054,3580,s,23,3,21,0
534,1976,403,s,21,1,23,0
534,4054,3580,s,21,1,23,0
535,1976,403,s,23,1,21,0
535,4054,3580,s,23,1,21,0
536,1976,403,s,21,5,23,0
536,4054,3580,s,21,5,23,0
537,1976,403,s,23,5,21,0
537,4054,3580,s,23,5,21,0
540,1976,403,s,21,2,23,0
540,4054,3580,s,21,2,23,0
541,1976,403,s,23,2,21,0
541,4054,3580,s,23,2,21,0
542,1976,403,s,21,4,23,0
542,4054,3580,s,21,4,23,0
543,1976,403,s,23,4,21,0
543,4054,3580,s,23,4,21,0
560,421,403,s,702,3,702,0
560,2227,405,s,702,1,702,0
560,4072,3580,s,702,3,702,0
562,421,403,s,702,1,702,0
562,4072,3580,s,702,1,702,0
563,421,403,s,702,5,702,0
563,4072,3580,s,702,5,702,0
564,421,403,s,702,2,702,0
564,4072,3580,s,702,2,702,0
565,421,403,s,702,4,702,0
565,4072,3580,s,702,4,702,0
566,2228,405,s,703,1,703,0
566,2233,403,s,703,3,703,0
566,4073,3580,s,703,3,703,0
568,2233,403,s,703,1,703,0
568,4073,3580,s,703,1,703,0
569,2233,403,s,703,5,703,0
569,4073,3580,s,703,5,703,0
570,2233,403,s,703,2,703,0
570,4073,3580,s,703,2,703,0
571,2233,403,s,703,4,703,0
571,4073,3580,s,703,4,703,0
607,1989,403,s,26,3,26,0
607,1990,405,s,26,1,26,0
607,4068,3580,s,26,3,26,0
609,1989,403,s,26,1,26,0
609,4068,3580,s,26,1,26,0
610,1989,403,s,26,5,26,0
610,4068,3580,s,26,5,26,0
611,1989,403,s,26,2,26,0
611,4068,3580,s,26,2,26,0
612,1989,403,s,26,4,26,0
612,4068,3580,s,26,4,26,0
620,1970,403,s,700,3,700,0
620,1971,405,s,700,1,700,0
620,4070,3580,s,700,3,700,0
622,1970,403,s,700,1,700,0
622,4070,3580,s,700,1,700,0
623,1970,403,s,700,5,700,0
623,4070,3580,s,700,5,700,0
624,1970,403,s,700,2,700,0
624,4070,3580,s,700,2,700,0
625,1970,403,s,700,4,700,0
625,4070,3580,s,700,4,700,0
631,429,403,s,18,1,18,0
631,4062,3580,s,18,1,18,0
632,429,403,s,18,2,18,0
632,4062,3580,s,18,2,18,0
633,429,403,s,18,5,18,0
633,4062,3580,s,18,5,18,0
634,429,403,s,18,4,18,0
634,4062,3580,s,18,4,18,0
645,1991,403,s,30,1,30,0
646,1991,403,s,30,5,30,0
647,1991,403,s,30,2,30,0
648,1991,403,s,30,4,30,0
649,1991,403,s,30,3,30,0
649,1992,405,s,30,1,30,0
660,1986,403,s,19,1,19,0
660,4065,3580,s,19,1,19,0
661,1986,403,s,19,2,19,0
661,4065,3580,s,19,2,19,0
662,1986,403,s,19,5,19,0
662,4065,3580,s,19,5,19,0
663,1986,403,s,19,4,19,0
663,4065,3580,s,19,4,19,0
664,1994,403,s,25,1,25,0
664,4017,4000,s,25,11,25,0
664,4056,3580,s,25,1,25,0
665,1994,403,s,25,2,25,0
665,4017,4000,s,25,12,25,0
665,4056,3580,s,25,2,25,0
666,1994,403,s,25,5,25,0
666,4017,4000,s,25,15,25,0
666,4056,3580,s,25,5,25,0
667,1994,403,s,25,4,25,0
667,4017,4000,s,25,14,25,0
667,4056,3580,s,25,4,25,0
670,1970,403,s,701,3,701,0
670,1971,405,s,701,1,701,0
670,4070,3580,s,701,3,701,0
672,1970,403,s,701,1,701,0
672,4070,3580,s,701,1,701,0
673,1970,403,s,701,2,701,0
673,4070,3580,s,701,2,701,0
674,1970,403,s,701,5,701,0
674,4070,3580,s,701,5,701,0
675,1970,403,s,701,4,701,0
675,4070,3580,s,701,4,701,0
756,1029,783,s,600,48,604,0
758,1029,783,s,600,68,718,0
811,2234,403,s,704,3,704,0
813,2234,403,s,704,1,704,0
814,2234,403,s,704,5,704,0
815,2234,403,s,704,2,704,0
816,2234,403,s,704,4,704,0
900,2099,403,s,790,3,790,0
902,2099,403,s,790,1,790,0
903,2099,403,s,790,5,790,0
904,2099,403,s,790,2,790,0
905,2099,403,s,790,4,790,0
931,3550,783,s,869,24,869,0
931,3794,4000,s,869,24,869,0
931,4102,3580,s,869,26,869,0
932,3550,783,s,869,25,869,0
932,3794,4000,s,869,25,869,0
932,4102,3580,s,869,8,869,0
933,3550,783,s,869,26,869,0
933,3794,4000,s,869,26,869,0
933,4102,3580,s,869,24,869,0
934,3550,783,s,869,27,869,0
934,3794,4000,s,869,27,869,0
934,4102,3580,s,869,7,869,0
974,2235,405,s,1033,1,1033,0
1054,426,403,s,1042,3,1042,0
1054,427,405,s,1042,1,1042,0
1054,2097,403,s,1042,3,1042,0
1054,2231,405,s,1042,1,1042,0
1054,4076,3580,s,1042,3,1042,0
1058,426,403,s,1042,1,1042,0
1058,4076,3580,s,1042,1,1042,0
1059,426,403,s,1042,2,1042,0
1059,4076,3580,s,1042,2,1042,0
1060,426,403,s,1042,5,1042,0
1060,4076,3580,s,1042,5,1042,0
1061,426,403,s,1042,4,1042,0
1061,4076,3580,s,1042,4,1042,0
1070,397,403,s,2277,3,2277,0
1070,627,405,s,2277,1,2277,0
1070,2745,2742,s,2277,4,2277,0
1072,397,403,s,2277,1,2277,0
1073,397,403,s,2277,5,2277,0
1074,397,403,s,2277,2,2277,0
1075,397,403,s,2277,4,2277,0
1093,434,403,s,1082,3,1082,0
1093,435,405,s,1082,1,1082,0
1093,4059,3580,s,1082,3,1082,0
1095,434,403,s,1082,1,1082,0
1095,4059,3580,s,1082,1,1082,0
1096,434,403,s,1082,2,1082,0
1096,4059,3580,s,1082,2,1082,0
1097,434,403,s,1082,5,1082,0
1097,4059,3580,s,1082,5,1082,0
1098,434,403,s,1082,4,1082,0
1098,4059,3580,s,1082,4,1082,0
1108,1996,403,s,1083,3,1083,0
1108,1997,405,s,1083,1,1083,0
1108,4077,3580,s,1083,3,1083,0
1110,1996,403,s,1083,1,1083,0
1110,4077,3580,s,1083,1,1083,0
1111,1996,403,s,1083,2,1083,0
1111,4077,3580,s,1083,2,1083,0
1112,1996,403,s,1083,5,1083,0
1112,4077,3580,s,1083,5,1083,0
1113,1996,403,s,1083,4,1083,0
1113,4077,3580,s,1083,4,1083,0
1120,1970,403,s,700,3,701,0
1120,1971,405,s,700,1,701,0
1120,4070,3580,s,700,3,701,0
1122,1970,403,s,700,1,701,0
1122,4070,3580,s,700,1,701,0
1123,1970,403,s,700,5,701,0
1123,4070,3580,s,700,5,701,0
1124,1970,403,s,700,2,701,0
1124,4070,3580,s,700,2,701,0
1125,1970,403,s,700,4,701,0
1125,4070,3580,s,700,4,701,0
1130,1970,403,s,701,3,700,0
1130,1971,405,s,701,1,700,0
1130,4070,3580,s,701,3,700,0
1132,1970,403,s,701,1,700,0
1132,4070,3580,s,701,1,700,0
1133,1970,403,s,701,5,700,0
1133,4070,3580,s,701,5,700,0
1134,1970,403,